repo,loc,ehloc,num_classes,userdefined_exceptions,num_methods,num_methods_throw,num_public_methods,num_public_methods_throws,num_nonpublic_methods,num_nonpublic_methods_throws,percent_nonpublic_method_throws,num_throw_statements,num_try,num_catch,empty_catchs,throw_on_catch,return_on_catch,return_on_finall,log_on_finally,specific_action_onfinally
xceptance/xcmailr,6265,14,59,0,387,5,310,1,77,4,5.194805194805195,2,10,12,0,0,0,0,0,0
rzymek/webboards,7687,120,122,3,511,94,349,77,162,17,10.493827160493826,30,14,12,0,8,1,0,0,3
processing/processing-web,5499,102,21,0,248,26,173,6,75,20,26.666666666666668,1,25,32,0,0,2,0,0,0
lutzky/transportdroidil,2390,62,23,0,198,21,129,16,69,5,7.246376811594203,5,12,10,0,0,1,0,0,2
schaeferm/playground,1601,193,10,0,103,8,62,7,41,1,2.4390243902439024,3,10,7,0,0,7,0,0,1
carlossg/glacier-cli,395,58,3,1,20,3,10,0,10,3,30.0,16,8,8,0,6,0,0,0,0
ishubin/galen,15402,559,211,6,1630,164,1244,133,386,31,8.031088082901555,160,54,56,0,29,4,0,0,0
manishdevraj/jboss2nagios,494,54,9,0,19,5,11,2,8,3,37.5,5,9,9,0,4,0,0,0,0
marklogic/xqsync,5020,433,45,2,401,76,316,43,85,33,38.82352941176471,98,51,55,0,25,2,0,0,1
dblock/waffle,16514,736,185,3,2084,133,1943,122,141,11,7.801418439716312,76,111,70,0,30,12,0,2,141
jruby/jruby-debug,2011,74,12,0,261,2,56,2,205,0,0.0,13,7,6,0,1,5,0,0,3
nineworlds/serenity-android,41250,624,289,1,2671,112,1745,99,926,13,1.4038876889848813,57,134,150,0,2,8,0,0,7
mdiyo/natura,25336,67,253,0,1581,0,1208,0,373,0,0.0,6,38,38,0,0,0,0,0,0
lishid/openinv,6996,245,92,0,609,6,480,3,129,3,2.3255813953488373,5,64,65,0,0,3,0,0,6
ikeike443/hudsonpluginforplay,565,19,8,0,63,10,49,7,14,3,21.428571428571427,4,3,4,0,2,2,0,0,0
googleads/aw-reporting,11525,375,140,0,966,64,810,47,156,17,10.897435897435898,22,51,68,0,17,12,0,0,14
ianhanniballake/triplesolitaire,3218,61,20,0,283,2,188,2,95,0,0.0,15,8,11,0,3,4,0,0,0
joshjcarrier/minecontrol,2764,26,46,0,60,0,60,0,0,0,0,0,17,22,0,0,0,0,0,0
qos-ch/logback-extensions,1297,112,18,0,135,24,93,12,42,12,28.57142857142857,5,26,18,0,1,0,0,0,11
winterstein/eclipse-markdown-editor-plugin,2409,69,25,0,153,8,84,4,69,4,5.797101449275362,5,17,18,0,5,4,0,0,0
batooorg/batoojpa,81349,3182,1114,15,5338,399,4472,348,866,51,5.8891454965357966,614,506,310,0,105,14,0,17,86
multifarious/skid-road,6995,422,118,1,599,149,420,90,179,59,32.960893854748605,53,82,54,0,26,5,0,7,34
rutgerkok/forgemoddertools,624,30,13,0,42,25,29,16,13,9,69.23076923076923,13,5,5,0,4,0,0,0,0
brianm/jdbi,18217,1120,319,12,1613,646,1377,584,236,62,26.27118644067797,220,173,173,0,109,9,0,1,43
mgiepz/saiku-adhoc,8631,600,109,6,688,69,583,40,105,29,27.61904761904762,71,96,108,0,34,20,0,0,9
jcabi/jcabi-maven-plugin,594,23,9,0,32,9,18,7,14,2,14.285714285714285,9,4,5,0,4,0,0,0,0
kristiankarl/graphwalker,10670,735,97,4,931,174,706,99,225,75,33.33333333333333,141,105,129,0,60,4,0,0,9
1rogue/playtime,3128,294,44,0,236,18,207,13,29,5,17.24137931034483,8,53,58,0,0,4,0,0,0
shenfeng/http-kit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farin/jcloisterzone,22246,343,280,2,2370,30,1921,20,449,10,2.2271714922048997,71,53,58,0,11,5,0,0,0
i-m-c/jenkins-inheritance-plugin,9885,449,48,0,544,33,426,24,118,9,7.627118644067797,27,82,84,0,1,30,0,0,21
wildabeast/barcodescanner,26156,900,269,6,1372,213,603,68,769,145,18.855656697009103,365,109,102,0,27,14,0,0,19
mkalus/jspacealertmissiongenerator,2024,76,28,0,126,4,90,2,36,2,5.555555555555555,1,20,27,0,1,1,0,0,0
openplanets/nanite,4704,292,72,0,304,101,222,59,82,42,51.21951219512195,34,52,63,0,19,1,0,1,4
dkandalov/live-plugin,4292,289,57,5,408,21,233,5,175,16,9.142857142857142,20,34,44,0,8,2,0,0,3
t2k269/perapphacking,939,58,10,0,56,14,33,2,23,12,52.17391304347826,0,14,12,0,0,2,0,0,2
runsafe/warpdrive,2969,2,40,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0
mariuswatz/modelbuilder,64603,1686,261,0,5438,71,3553,53,1885,18,0.9549071618037135,140,345,381,0,17,38,0,0,0
xwaffle1/leagueofcrafters,10495,14,111,0,593,0,412,0,181,0,0.0,0,3,3,0,0,0,0,0,0
spring-guides/gs-validating-form-input,67,0,3,0,9,1,8,0,1,1,100.0,0,0,0,0,0,0,0,0,0
anderswelen/buzz,3356,330,52,1,254,86,225,79,29,7,24.137931034482758,57,38,79,0,51,5,0,2,11
mmominecraftdev/mmocore,2539,164,26,0,164,0,116,0,48,0,0.0,4,36,38,0,0,4,0,0,0
talend-spatial/talend-spatial,8255,534,81,0,554,107,354,56,200,51,25.5,38,99,103,0,13,15,0,0,10
jcabi/jcabi-dynamo,2668,84,45,0,212,29,174,25,38,4,10.526315789473683,25,16,8,0,6,0,0,0,8
doanduyhai/achilles,34634,375,382,5,2979,1222,2704,1217,275,5,1.8181818181818181,111,47,48,0,25,1,0,3,1
cosmoharrigan/tuffy,26079,993,110,0,391,18,297,12,94,6,6.382978723404255,66,194,132,0,0,12,0,1,34
satyagraha/gfm_viewer,3822,54,64,0,367,115,272,106,95,9,9.473684210526317,18,10,10,0,4,1,0,0,0
joel-costigliola/assertj-core,67971,6193,1849,3,8621,202,6118,185,2503,17,0.6791849780263683,350,1093,1084,0,49,21,0,0,23
massivecraft/factions,9457,16,154,0,245,9,172,9,73,0,0.0,5,10,10,0,0,0,0,0,0
chrisbanes/android-bitmapcache,1278,109,17,0,103,3,60,0,43,3,6.976744186046512,3,22,25,0,1,1,0,0,2
neo4j-contrib/authentication-extension,448,55,8,0,37,10,24,8,13,2,15.384615384615385,5,12,12,0,0,0,0,0,0
xtremelabs/robolectric,35259,1031,451,2,4438,972,3641,897,797,75,9.410288582183187,331,162,188,0,121,38,0,0,8
esotericsoftware/scar,2077,245,5,0,132,70,129,67,3,3,100.0,20,62,46,0,13,2,0,0,31
kelsos/mbrc,8396,181,165,0,771,2,666,2,105,0,0.0,8,25,29,0,1,0,0,0,4
jcgay/maven-profiler,855,4,11,0,111,23,68,19,43,4,9.30232558139535,0,1,1,0,0,0,0,0,0
vkravets/filetemplatesvariable,770,12,7,0,89,3,65,3,24,0,0.0,1,3,3,0,1,0,0,0,0
cloudfoundry/vcap-java-client,11148,836,136,4,912,239,635,172,277,67,24.187725631768952,122,136,146,0,65,9,0,0,9
loopj/airbrake-android,287,34,1,0,12,0,2,0,10,0,0.0,2,7,7,0,0,0,0,0,0
jcabi/jcabi-github,24916,820,358,0,1938,919,1618,787,320,132,41.25,111,187,73,0,70,0,0,2,131
cloudfoundry-community/java-nats,3116,154,76,5,283,74,242,64,41,10,24.390243902439025,37,22,13,0,10,1,0,0,7
idrc/teclaaccess,8377,132,43,0,584,1,363,0,221,1,0.4524886877828055,1,25,29,0,0,1,0,0,0
knowitall/taggers,429,0,13,0,48,0,27,0,21,0,0.0,0,0,0,0,0,0,0,0,0
ceskaexpedice/kramerius,72423,5615,966,24,5147,1703,3610,1092,1537,611,39.75276512687053,670,896,1129,0,452,122,0,8,118
mrpdaemon/encfs-java,5460,572,52,6,288,127,168,76,120,51,42.5,119,88,107,0,60,6,0,0,21
adamsaleh/nitraterpc,2289,93,21,0,200,34,191,33,9,1,11.11111111111111,6,18,20,0,0,3,0,0,0
arimus/jmimemagic,2123,470,12,4,120,0,95,0,25,0,0.0,17,48,82,0,9,2,0,0,2
svenake/abovegame,25781,1419,295,3,2445,351,1831,264,614,87,14.169381107491857,160,268,303,0,38,35,0,0,2
sromku/android-simple-facebook,6409,72,88,0,747,0,609,0,138,0,0.0,1,16,21,0,0,2,0,0,0
croxis/lift,1504,47,11,0,46,6,37,3,9,3,33.33333333333333,4,7,9,0,0,3,0,0,0
johannilsson/sthlmtraveling,12181,381,70,0,978,42,639,20,339,22,6.489675516224189,41,75,80,0,6,12,0,0,3
gopivotal/pivotal-samples,526,4,11,0,21,10,14,4,7,6,85.71428571428571,0,1,1,0,0,0,0,0,0
timboudreau/acteur,14218,614,180,3,1136,167,821,118,315,49,15.555555555555555,77,130,91,0,7,38,0,0,19
smooks/smooks,92651,5660,1468,36,7865,2519,6130,1895,1735,624,35.96541786743516,978,924,796,0,342,57,0,6,327
grandwazir/starterkit,582,12,12,0,45,1,34,1,11,0,0.0,0,3,3,0,0,0,0,0,0
hoevenvd/java_for_weather,9115,291,72,1,846,99,580,54,266,45,16.917293233082706,21,60,60,0,9,3,0,0,0
afollestad/cards-ui,850,16,9,0,94,0,70,0,24,0,0.0,13,1,1,0,1,0,0,0,0
eclipsesource/restfuse,4696,243,57,0,595,100,384,64,211,36,17.061611374407583,52,55,51,0,39,1,0,0,4
kikoso/android-stackblur,859,33,12,0,32,2,23,2,9,0,0.0,1,7,7,0,0,5,0,0,0
abailly/jparsec,15180,428,306,1,1791,55,1314,42,477,13,2.7253668763102725,34,84,92,0,4,0,0,0,3
bigmlcom/histogram,1461,43,18,3,168,18,125,12,43,6,13.953488372093023,22,1,1,0,0,0,0,0,0
benbahrenburg/bencoding.alarmmanager,558,10,6,0,10,0,8,0,2,0,0.0,5,1,1,0,0,1,0,0,0
arjankranenburg/testium_selenium_plugin,4225,370,63,0,101,23,76,10,25,13,52.0,61,34,42,0,17,25,0,0,0
perwendel/spark,3914,293,62,2,484,33,378,25,106,8,7.547169811320755,51,57,59,0,40,1,0,0,0
grammaticalframework/gf-eclipse-plugin,91992,13993,227,2,3743,41,3008,17,735,24,3.2653061224489797,171,1889,1734,0,9,18,0,0,1463
tobijanssen/gsoplan,5983,132,43,0,265,20,176,4,89,16,17.97752808988764,42,76,85,0,0,0,0,0,0
kinglemming/cofhlib,3720,0,69,0,369,2,166,0,203,2,0.9852216748768473,0,0,0,0,0,0,0,0,0
calclavia/universal-electricity,6010,24,98,0,176,2,152,1,24,1,4.166666666666666,6,16,18,0,0,0,0,0,0
caprica/vlcj-javafx,85,0,1,0,7,2,6,2,1,0,0.0,0,0,0,0,0,0,0,0,0
awaisathar/dependensee,612,22,5,0,44,17,21,1,23,16,69.56521739130434,2,4,4,0,1,0,0,0,0
airlift/airlift,39953,2174,410,12,3410,1,2746,1,664,0,0.0,281,362,305,0,79,20,0,0,78
excilys/spring-dbunit,2241,79,39,1,239,58,201,36,38,22,57.89473684210527,17,11,13,0,13,0,0,0,3
opengrok/opengrok,36000,2494,326,14,2625,600,1715,327,910,273,30.0,260,442,372,0,59,46,0,6,62
mcaprari/botto,2952,176,62,3,337,47,242,39,95,8,8.421052631578947,33,26,28,0,16,0,0,0,0
mrniko/netty-socketio,6147,161,129,2,640,92,542,78,98,14,14.285714285714285,27,24,29,0,13,6,0,0,5
bndtools/bnd,82289,3870,755,3,5332,2037,3521,1075,1811,962,53.119823302043066,601,726,501,0,100,52,0,4,406
karussell/jetwick,21003,867,169,1,2101,252,1697,217,404,35,8.663366336633663,123,174,173,0,28,37,0,0,5
linkedcitizenscience2013/lcs-app,37698,1682,314,27,3249,209,2440,122,809,87,10.754017305315204,233,237,313,0,106,19,0,1,6
rcongiu/hive-json-serde,4696,262,35,1,333,147,255,110,78,37,47.43589743589743,101,40,40,0,17,13,0,0,0
wseemann/ffmpegmediaplayer,1337,108,5,0,84,3,60,3,24,0,0.0,17,11,24,0,12,0,0,0,0
ossobv/graylog2-plugin-alarmcallback-exec,68,10,2,0,5,3,5,3,0,0,0,4,2,2,0,2,0,0,0,0
finnkuusisto/tinysound,1768,145,14,0,100,0,72,0,28,0,0.0,2,33,35,0,0,12,0,1,6
guardian-security/guardian,3761,136,96,0,360,20,315,14,45,6,13.333333333333334,34,22,25,0,2,4,0,0,0
webbukkit/dynmapforge,4292,108,13,0,289,3,220,3,69,0,0.0,1,34,45,0,0,6,0,0,0
lessthanoptimal/boofcv,190324,2385,2284,2,10360,400,6847,207,3513,193,5.493879874750926,1134,220,301,0,216,49,0,0,1
spigotmc/bungeecord,10560,130,194,1,703,159,590,134,113,25,22.123893805309734,47,64,40,0,0,0,0,0,0
gary-rowe/multibitmerchant,12791,363,268,6,1203,106,955,73,248,33,13.306451612903224,90,48,54,0,21,5,0,0,37
julior/spring-inspector,650,69,10,0,38,13,27,7,11,6,54.54545454545454,7,14,14,0,5,0,0,0,0
springsource/grails-data-mapping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slyjack0/jcue,5236,38,56,0,475,8,379,7,96,1,1.0416666666666665,3,10,10,0,0,0,0,0,0
devhub-tud/devhub,2393,196,45,1,109,30,78,23,31,7,22.58064516129032,35,33,34,0,11,14,0,1,3
olivergierke/spring-restbucks,1594,35,51,2,87,18,67,9,20,9,45.0,9,2,1,0,1,0,0,0,0
stevenrs11/dimdoors,18698,244,177,2,242,51,178,20,64,31,48.4375,140,58,62,0,0,1,0,0,0
chrisruffalo/achoo,1694,78,53,0,128,6,92,6,36,0,0.0,3,17,18,0,0,0,0,0,0
robotic-brain/watercraft,10876,93,176,0,990,2,833,2,157,0,0.0,8,20,23,0,2,4,0,0,0
joestelmach/natty,3491,23,26,0,184,76,146,73,38,3,7.894736842105263,0,5,6,0,0,3,0,0,0
emilsjolander/stickylistheaders,1621,23,10,0,181,0,151,0,30,0,0.0,5,3,5,0,0,0,0,0,1
reikakalseki/rotarycraft,105525,462,736,0,4336,19,3245,19,1091,0,0.0,44,47,103,0,8,7,0,0,0
miguelius/hoope,71318,12167,137,0,1306,52,853,48,453,4,0.8830022075055187,231,1713,1454,0,13,0,0,0,1151
sporst/swfretools,30956,346,1072,2,3026,403,1807,1,1219,402,32.977850697292865,102,32,41,0,9,10,0,0,14
aginsun/journey-of-legends,43930,17,85,0,164,18,115,18,49,0,0.0,0,5,5,0,0,0,0,0,0
nathanmarz/storm,46315,2677,449,6,5135,708,4345,472,790,236,29.873417721518987,727,284,295,0,224,9,0,0,2
justin7674/craftcoinishv2,1446,109,24,0,83,2,63,0,20,2,10.0,0,25,29,0,0,6,0,0,0
enasequence/cramtools,25716,1174,225,3,1324,330,872,207,452,123,27.212389380530972,340,133,129,0,85,27,0,0,8
eksopl/asagi,3225,477,36,6,363,35,340,26,23,9,39.130434782608695,71,66,88,0,45,1,0,0,3
fasterxml/jackson-module-hibernate,2832,12,44,0,420,18,391,14,29,4,13.793103448275861,4,2,0,0,0,0,0,0,2
jcaddel/maven-s3-wagon,1451,116,23,0,151,16,104,10,47,6,12.76595744680851,29,18,31,0,23,2,0,0,2
jiwhiz/jiwhizblogweb,4207,44,72,0,431,17,385,12,46,5,10.869565217391305,9,7,7,0,0,3,0,0,0
juven/portable-config-maven-plugin,1580,28,32,0,112,69,83,56,29,13,44.827586206896555,11,7,11,0,9,0,0,0,0
androidquery/androidquery,13238,470,74,1,511,73,364,23,147,50,34.01360544217687,38,96,98,0,19,13,0,0,6
exterminatorjeff/undergroundbiomes,1827,3,30,0,152,2,122,1,30,1,3.3333333333333335,1,2,2,0,0,0,0,0,0
janinko/ghprb,1989,136,13,0,161,30,120,20,41,10,24.390243902439025,3,28,26,0,1,6,0,0,1
temenostech/iris,38705,1125,435,1,2613,401,2146,369,467,32,6.852248394004283,172,188,208,0,47,18,0,0,23
fasterxml/jackson-module-paranamer,205,4,6,0,18,3,15,3,3,0,0.0,0,1,1,0,0,0,0,0,0
mmontuori/atrix-mrom,2234,84,5,0,134,0,80,0,54,0,0.0,2,18,20,0,0,0,0,0,0
ilanpillemer/gherkin-eclipse-plugin,638,26,18,0,44,4,29,2,15,2,13.333333333333334,0,7,7,0,0,1,0,0,0
haraldwalker/user-agent-utils,1837,12,16,0,72,0,61,0,11,0,0.0,5,3,3,0,0,0,0,0,0
holmbergius/wildbook,34289,2577,237,0,1914,352,1587,332,327,20,6.116207951070336,40,433,473,0,0,119,0,3,14
dain/leveldb,12085,448,105,1,1053,51,743,37,310,14,4.516129032258064,94,86,59,0,26,4,0,1,33
pbyrne84/dynamicreturntypeplugin,2968,61,62,0,353,26,302,24,51,2,3.9215686274509802,4,8,9,0,0,2,0,0,1
cjfuller/imageanalysistools,15868,612,175,1,1102,43,839,13,263,30,11.406844106463879,52,89,127,0,13,29,0,0,0
qirion/dand-lion,502,11,15,0,21,0,16,0,5,0,0.0,0,1,1,0,0,0,0,0,0
gmarabout/cascading.json,577,4,15,0,31,4,22,2,9,2,22.22222222222222,4,0,0,0,0,0,0,0,0
yyuu/jetty-nosql-memcached,3074,159,108,2,293,82,251,73,42,9,21.428571428571427,10,45,45,0,23,1,0,0,0
ardok/stackmobandroiddemos,2924,96,25,0,261,0,185,0,76,0,0.0,0,16,23,0,0,0,0,0,0
beckchr/juel,9816,870,134,5,828,101,678,48,150,53,35.333333333333336,165,209,226,0,48,6,0,0,0
vert-x/vert.x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
runsafe/creativetoolbox,3882,1,59,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
meiskam/playerheads,1752,144,14,0,94,8,57,5,37,3,8.108108108108109,8,26,27,0,1,6,0,0,1
0xdata/h2o,84450,3029,522,1,6383,412,3523,168,2860,244,8.531468531468532,538,645,538,0,88,67,0,5,192
iponweb/hdfs-over-ftp,1116,132,8,0,95,13,78,4,17,9,52.94117647058824,17,24,22,0,4,15,0,0,2
ig-group/restdoclet,4296,174,88,4,460,23,323,7,137,16,11.678832116788321,24,18,21,0,6,0,0,0,1
alta189/simplesave,3296,594,56,8,133,14,93,8,40,6,15.0,130,93,111,0,74,4,0,0,0
tobykurien/sherlocknavigationdrawer,314,1,1,0,35,0,32,0,3,0,0.0,0,0,0,0,0,0,0,0,0
vrapper/vrapper,27945,642,428,1,2319,187,1712,136,607,51,8.40197693574959,88,131,113,0,19,16,0,0,31
eugenp/stackexchange2twitter,15554,433,259,0,446,61,318,33,128,28,21.875,32,59,75,0,2,59,0,0,0
tuxmobil/campfahrplan,4306,261,33,1,200,5,111,4,89,1,1.1235955056179776,4,40,50,0,3,17,0,0,0
dozedoff/aid,5780,433,67,1,272,100,209,87,63,13,20.634920634920633,9,90,95,0,1,11,0,0,0
dwimberger/crowd-radius-server,515,44,4,0,51,6,44,5,7,1,14.285714285714285,4,8,9,0,0,0,0,0,0
crunch09/memory,3395,137,43,0,142,1,107,1,35,0,0.0,2,27,28,0,0,1,0,0,0
octo47/qmon-popeye,3000,25,3,0,188,0,128,0,60,0,0.0,25,0,0,0,0,0,0,0,0
kencochrane/raven-java,7169,451,100,4,823,249,501,213,322,36,11.180124223602485,26,58,59,0,16,2,0,0,5
istin/android_xcore,13636,786,217,1,1292,108,809,78,483,30,6.211180124223603,86,123,90,0,20,12,15,2,164
chaseoes/tf2,6486,197,79,0,514,9,414,6,100,3,3.0,12,40,44,0,3,8,0,0,0
filepicker/filepicker-android,3192,172,33,0,192,10,126,6,66,4,6.0606060606060606,10,38,42,0,6,4,0,0,0
fasterxml/jackson-databind,74001,2619,635,6,6961,1489,5788,1434,1173,55,4.6888320545609545,633,377,404,0,129,17,0,0,43
schildbach/bitcoin-wallet,14071,224,84,0,39,39,10,10,29,29,100.0,78,114,126,0,0,0,0,0,0
mnn/jaffas,30679,253,547,2,2636,4,1837,1,799,3,0.37546933667083854,87,58,51,0,9,1,0,0,0
lordofthejars/nosql-unit,34775,1251,400,0,3473,582,2729,431,744,151,20.29569892473118,366,221,256,0,137,24,0,0,18
corejet/corejet,3923,422,81,10,257,38,208,28,49,10,20.408163265306122,58,69,86,0,41,6,0,0,0
cucumber/cucumber-jvm,20496,976,428,8,2259,346,1787,288,472,58,12.288135593220339,243,128,139,0,94,5,0,0,16
mulesoft/facebook-connector,8782,458,141,0,730,247,681,209,49,38,77.55102040816327,2,114,115,0,0,0,0,0,0
jblough/android-pdf-viewer-library,16774,541,113,7,1409,104,898,44,511,60,11.741682974559687,170,42,48,0,17,15,0,0,0
massivecraft/massivebooks,2318,4,37,0,67,0,53,0,14,0,0.0,2,1,1,0,0,0,0,0,0
alexanderjarvis/play-jongo,176,4,5,0,20,5,9,3,11,2,18.181818181818183,0,1,1,0,0,0,0,0,0
micode/legacy-patchrom,103875,5678,64,0,3868,125,2234,96,1634,29,1.7747858017135865,732,1110,1130,0,198,98,0,8,86
koush/ion,7678,285,92,0,593,82,442,54,151,28,18.543046357615893,44,53,46,0,2,0,0,0,20
acen99/webintent,135,5,1,0,4,0,2,0,2,0,0.0,0,1,1,0,0,1,0,0,0
netflix/servo,17427,581,192,0,1364,246,898,222,466,24,5.150214592274678,121,116,87,0,24,8,0,0,43
scrayos/proxytablist,809,41,13,0,80,6,62,3,18,3,16.666666666666664,5,8,8,0,0,2,0,0,0
hcoles/pitest,37994,829,728,6,4483,459,3631,419,852,40,4.694835680751173,130,137,142,0,68,17,3,1,64
tyczj/mapnavigator,438,20,5,0,2,0,0,0,2,0,0.0,0,5,5,0,0,0,0,0,0
pawelkobojek/goldenquotes,1353,9,15,0,129,0,94,0,35,0,0.0,1,2,2,0,1,0,0,0,0
leggetter/pusher-java-client,2811,89,49,1,307,15,260,12,47,3,6.382978723404255,30,11,12,0,8,0,0,0,0
srsoftware/carddavcleaner,7148,455,32,3,342,49,187,8,155,41,26.451612903225808,29,90,115,0,16,1,0,0,0
lawrence0819/java-stateless-http-session,502,28,6,0,47,10,39,6,8,4,50.0,8,6,6,0,5,0,0,0,0
droolsjbpm/jbpm-console-ng,24750,251,267,2,2534,11,2194,7,340,4,1.1764705882352942,23,43,44,0,14,4,0,0,0
wickth/terraincontrol,23371,213,210,1,1423,91,980,40,443,51,11.512415349887133,96,86,92,0,0,0,0,0,0
javanna/elasticshell,8978,160,157,0,710,146,482,78,228,68,29.82456140350877,12,34,29,0,5,4,0,3,11
perfcake/perfcake,7833,548,104,3,721,159,590,126,131,33,25.190839694656486,76,94,93,0,31,2,0,0,19
knowrob/knowrob,16191,905,149,0,895,25,632,12,263,13,4.942965779467681,34,113,131,0,4,40,0,0,3
jacek-marchwicki/androidgridlistviewdragginganimation,1070,3,8,0,70,0,47,0,23,0,0.0,3,0,0,0,0,0,0,0,0
games647/scoreboardstats,1782,122,30,2,151,1,84,1,67,0,0.0,5,17,18,0,1,2,0,0,0
aksw/xturtle,3469,43,64,0,202,6,109,3,93,3,3.225806451612903,6,9,10,0,1,4,0,0,0
jsimone/webapp-runner,504,16,10,0,17,10,6,3,11,7,63.63636363636363,2,4,4,0,1,1,0,0,0
netty/netty,112268,6275,1198,26,9995,1987,6927,1402,3068,585,19.06779661016949,1802,874,729,0,244,57,0,3,335
ystrot/glance,8694,162,122,0,893,16,587,11,306,5,1.6339869281045754,4,33,26,0,2,1,0,0,24
comcast/cmb,33793,3353,238,6,1857,545,1367,365,490,180,36.734693877551024,447,549,534,0,149,23,0,0,45
herobrinesarmy/devcpu,14532,791,224,19,1235,133,1016,113,219,20,9.1324200913242,71,81,84,0,9,5,0,0,7
griddynamics/banshun,2106,75,44,0,183,46,121,30,62,16,25.806451612903224,13,12,12,0,5,0,0,0,0
somethingodd/odditem,971,58,12,0,98,5,58,0,40,5,12.5,1,13,13,0,0,1,0,0,0
s23m/cell,19941,202,268,2,1397,28,859,21,538,7,1.3011152416356877,36,29,19,0,13,0,0,0,24
nigelb/jlibudev,754,26,14,1,77,2,71,1,6,1,16.666666666666664,3,2,2,0,0,0,0,0,0
apatry/neo4j-lucene4-index,11799,185,95,1,833,148,484,121,349,27,7.736389684813753,63,86,66,0,1,0,0,0,0
syno2flickr/syno2flickr,1083,190,6,1,59,11,47,9,12,2,16.666666666666664,6,51,52,0,4,8,0,0,0
athou/commafeed-newsplus,1624,28,29,0,265,13,236,12,29,1,3.4482758620689653,5,5,7,0,3,0,0,0,0
tinkerpop/blueprints,32955,1578,307,0,2835,678,2311,551,524,127,24.236641221374043,407,319,226,0,99,25,0,0,107
tesla/tesla-polyglot,7588,158,107,0,538,122,292,104,246,18,7.317073170731707,55,26,23,0,22,0,0,0,7
nullreff/simpleclansextensions,720,1,7,0,54,0,41,0,13,0,0.0,0,1,1,0,0,0,0,0,0
bartvbl/orre-v2,7948,193,237,0,640,13,429,0,211,13,6.161137440758294,10,32,46,0,1,5,0,2,15
rgisler/qsreporter,1141,52,30,0,87,2,72,1,15,1,6.666666666666667,0,4,20,0,0,0,0,0,0
thymeleaf/thymeleaf,26481,924,345,10,2264,32,1375,27,889,5,0.562429696287964,244,69,90,0,69,11,1,0,48
univali-l2s/portugol-nucleo,24898,1321,250,10,1504,636,1191,575,313,61,19.488817891373802,307,301,227,0,1,0,0,0,46
nushio/unsealed,11091,20,105,0,492,1,461,0,31,1,3.225806451612903,2,3,3,0,0,0,0,0,0
akusari/sd-booster,3203,117,16,0,164,0,113,0,51,0,0.0,29,16,16,0,1,3,0,1,9
tomakehurst/wiremock,10735,350,174,3,1277,54,998,38,279,16,5.734767025089606,64,58,59,0,36,14,0,0,6
esri/spatial-framework-for-hadoop,4663,327,105,0,147,74,111,58,36,16,44.44444444444444,10,61,67,0,2,49,2,0,10
simonvt/messagebar,249,0,2,0,30,0,25,0,5,0,0.0,0,0,0,0,0,0,0,0,0
paulhoule/infovore,11462,376,213,3,857,258,568,194,289,64,22.145328719723185,90,46,43,0,10,15,0,0,0
incf/eeg-database,50913,952,769,7,5626,270,4888,145,738,125,16.93766937669377,119,157,205,0,37,23,0,0,5
guari/eclipse-ui-theme,20,0,1,0,3,2,2,2,1,0,0.0,0,0,0,0,0,0,0,0,0
minecraftwars/gringotts,3077,144,47,2,315,4,270,0,45,4,8.88888888888889,20,28,30,0,11,3,0,0,0
flapdoodle-oss/de.flapdoodle.embed.process,3569,257,98,3,299,40,203,20,96,20,20.833333333333336,34,30,34,0,6,3,0,0,12
mapeper/minecraftexternalmodloader,1701,123,20,1,72,12,48,7,24,5,20.833333333333336,17,21,27,0,6,2,0,0,0
bogeblad/infoglue,240124,5781,1349,8,11271,6025,9315,4620,1956,1405,71.83026584867076,1647,3132,3308,0,23,9,0,0,6
skynav/ttv,18589,548,211,0,2026,319,1413,314,613,5,0.8156606851549755,156,89,150,0,54,28,0,0,0
smartrics/restfixture,7220,424,92,1,687,81,514,53,173,28,16.184971098265898,56,79,88,0,37,7,0,0,11
asharif/img2grf,168,18,2,0,7,1,2,0,5,1,20.0,0,3,4,0,0,0,0,0,0
emorym/android_pusher,941,189,13,1,58,6,45,4,13,2,15.384615384615385,21,19,26,0,12,4,0,0,0
shaders/phonegap-cordova-push-notifications,534,19,1,0,4,0,3,0,1,0,0.0,0,19,19,0,0,0,0,0,0
jfrogdev/teamcity-artifactory-plugin,6577,360,86,2,526,90,352,66,174,24,13.793103448275861,26,55,56,0,14,8,0,0,6
lucasr/twoway-view,4714,49,4,0,239,0,99,0,140,0,0.0,9,7,6,0,0,1,0,0,4
eugeny/instacode-intellij-plugin,40,6,1,0,2,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0
robert-bor/aho-corasick,858,0,20,0,101,0,86,0,15,0,0.0,0,0,0,0,0,0,0,0,0
octo-online/robospice-samples,6743,97,112,1,676,21,554,19,122,2,1.639344262295082,2,16,18,0,0,4,0,0,2
languagetool-org/languagetool,59410,1919,763,12,3933,973,2412,625,1521,348,22.879684418145956,281,320,249,0,112,66,0,6,82
